Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dcl/model/models,89,0,100.0,147.75708435954175,70.89185099903261,457.47625900185085,66590.0,12.170106896800398,0.0,100,150,170,180,270,400,420,460,460,460,460
,Aggregated,89,0,100.0,147.75708435954175,70.89185099903261,457.47625900185085,66590.0,12.170106896800398,0.0,100,150,170,180,270,400,420,460,460,460,460
